GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restaurant-search-service,com.omf.constant,MenuItemMessage,3,0,0,0,1,0,1,0,1,0
restaurant-search-service,com.omf.constant,OrderMessage,3,0,0,0,1,0,1,0,1,0
restaurant-search-service,com.omf.constant,RestaurantMessage,3,0,0,0,1,0,1,0,1,0
restaurant-search-service,com.omf,OrderMyFoodApp,5,3,0,0,2,1,1,1,1,1
restaurant-search-service,com.omf.rest.model,OrderResponse,197,42,46,0,0,6,27,11,4,11
restaurant-search-service,com.omf.rest.model,OrderCancelRequest,77,24,16,0,0,3,11,6,3,6
restaurant-search-service,com.omf.rest.model,RestaurantRequest,182,59,42,0,0,7,24,14,3,14
restaurant-search-service,com.omf.rest.model,OrderCancelResponse,98,17,22,0,0,3,15,5,4,5
restaurant-search-service,com.omf.rest.model,MenuItemRequest,168,50,40,0,0,6,23,12,3,12
restaurant-search-service,com.omf.rest.model,MenuItemResponse,131,24,30,0,0,4,19,7,4,7
restaurant-search-service,com.omf.rest.model,CustomerResponse,400,0,68,0,12,0,59,0,25,0
restaurant-search-service,com.omf.rest.model,OrderRequest,305,95,68,0,0,11,37,22,3,22
restaurant-search-service,com.omf.rest.model,RestaurantResponse,131,24,30,0,0,4,19,7,4,7
restaurant-search-service,com.omf.service.impl,RestaurantServiceImpl,0,54,0,2,0,14,0,4,0,3
restaurant-search-service,com.omf.service.impl,MenuItemServiceImpl,0,57,0,2,0,15,0,4,0,3
restaurant-search-service,com.omf.service.impl,OrderServiceImpl,72,388,20,18,10,86,18,9,0,8
restaurant-search-service,com.omf.exception,OrderMyFoodError,155,53,32,0,0,11,20,10,4,10
restaurant-search-service,com.omf.exception,OrderMyFoodException,19,16,0,0,8,7,5,3,5,3
restaurant-search-service,com.omf.exception,GlobalExceptionHandler,0,10,0,0,0,2,0,2,0,2
restaurant-search-service,com.omf.exception,ErrorConstant,3,179,0,0,1,37,1,2,1,2
restaurant-search-service,com.omf.model,AddressInfo,235,0,46,0,6,0,38,0,15,0
restaurant-search-service,com.omf.model,UserInfo,195,0,38,0,6,0,32,0,13,0
restaurant-search-service,com.omf.model,Order,367,117,84,0,0,14,45,26,3,26
restaurant-search-service,com.omf.model,Restaurant.RestaurantBuilder,72,0,0,0,1,0,10,0,10,0
restaurant-search-service,com.omf.model,Restaurant,287,30,50,0,8,3,39,7,14,7
restaurant-search-service,com.omf.model,ItemDetail,89,32,18,0,0,4,12,8,3,8
restaurant-search-service,com.omf.model,MenuItem,180,38,40,0,0,7,24,11,4,11
restaurant-search-service,com.omf.validation,RestaurantValidator,18,159,6,32,2,27,6,18,0,5
restaurant-search-service,com.omf.validation,MenuItemValidator,0,52,0,8,0,9,0,7,0,3
restaurant-search-service,com.omf.rest,OrderMyFoodRestAPI,0,187,0,0,0,38,0,11,0,11
